product_name,id,rating,message,date,timestamp,variant,is_anonymous,username,total_likes,has_image,has_video,seller_reply
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2050783492,4,"Barang nya aman ga ada yang rusak, baru mau coba semoga cocokk",1776413476,6 hari lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2050586640,5,Bahan: Lembut Manfaat produk: Untuk wajah Jenis kulit: Normal,1776406083,6 hari lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2050453642,5,Baik,1776401329,6 hari lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2050337116,5,udah beli ni produk ke 2x nya bagus banget sumpahhh plisss kirimin aku donggg min 😭😭😭🤏😖,1776397698,6 hari lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2050286031,5,Ini pemesanan ke 3 aku di aku cocok muka ku jdi bersih cerah dan halus,1776396045,6 hari lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2050154822,3,Alhamdulillah paketan q udah sampai meski lama nunggu nya karna kendala di expedisi.. Pengemasan kurang sdkit aman karna gk di lapisin babel wrap tapi alhamdulillah nya barang ny aman Makasih owner bonus red jelly nya semoga cocok pake ini.,1776391388,6 hari lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2049754127,5,"tekstur nya gal lengket bau&#34; buah berry gituww, semoga cocok day one pemakaian, kalo cocok bakal jadi langganan beli di toko ini",1776350497,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2048989855,4,Bahan: Sesuai Manfaat produk: Bguss,1776324055,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2048606018,5,Okey mantap saya udah pesen berapa kali di toko ini barang sesuai pesanan udah langganan di toko ini,1776310781,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2048189277,4,bagus bgt,1776282544,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2047994636,4,Kasi 🌟🌟🌟🌟 ajah dlu klau benar2 ada perubahan aku cek out lagi kasi 🌟🌟🌟🌟🌟,1776262459,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2047933193,5,"Semoga cocok dimuka aku yang susah putih, kalo cocok next order lagi 🥰",1776259986,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2047690853,4,"Bahan: Oke Manfaat produk: Mencerahkan, menghilangkan bopeng,warna kulit tidak merata mengecilkan pori2 cocok banget buat kulit sensitif kaya aku Jenis kulit: Sensitif, normal",1776252156,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2047690563,5,"Manfaat produk: Mencerahkan kulit , menghilangkan beruntusan harus sabar yaa konsisten inti nya",1776252147,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2047393104,5,Mantap klo cocok mau beli lagi disini,1776243520,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2047279081,5,Bahan: Ok Manfaat produk: Mencerahkan Jenis kulit: Semua jenis,1776239927,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2046808259,5,"uda berapa paket yaa lupa wkwk intinya bagus bgt make x beauty skincare, sllu dihati💗💗💗",1776224601,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2046762708,5,Pengiriman cepat dan aman packing rapih cream pemutih wajah terbaik,1776223188,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2046658699,5,"Alhamdulilah barang ya dtng,,aku suka bngt sama skincare ini,,aku bisa beli ini kumpulin uang,,sudah engga pake seminggu,,,skrng dtng saya seneng...terima kasih seĺler.....",1776219676,1 minggu lalu,Default,True,Anonymous,0,True,True,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2046411559,4,bagus sangt cocok dikulit saya,1776205058,1 minggu lalu,Default,True,Anonymous,0,True,False,
